                  epoch,         train/box_loss,         train/cls_loss,         train/dfl_loss,   metrics/precision(B),      metrics/recall(B),       metrics/mAP50(B),    metrics/mAP50-95(B),           val/box_loss,           val/cls_loss,           val/dfl_loss,                 lr/pg0,                 lr/pg1,                 lr/pg2
                      1,                 3.6337,                 118.73,                 1.0272,                      0,                      0,                      0,                      0,                    nan,                    nan,                    nan,                0.00052,                0.00052,                0.00052
                      2,                 4.0134,                 10.483,                 1.0333,                      0,                      0,                      0,                      0,                    nan,                    nan,                    nan,              0.0010495,              0.0010495,              0.0010495
                      3,                 3.9832,                 4.1717,                 1.0479,                      0,                      0,                      0,                      0,                    nan,                    nan,                    nan,              0.0015683,              0.0015683,              0.0015683
                      4,                  3.519,                 3.1897,                0.96523,                      0,                      0,                      0,                      0,                    nan,                    nan,                    nan,              0.0019406,              0.0019406,              0.0019406
                      5,                 3.5438,                 2.7451,                0.97039,                      0,                      0,                      0,                      0,                      0,                    inf,                      0,              0.0019208,              0.0019208,              0.0019208
                      6,                 3.4194,                 2.4685,                0.97625,                      0,                      0,                      0,                      0,                      0,                      0,                      0,               0.001901,               0.001901,               0.001901
                      7,                 3.3384,                 2.1501,                0.94464,                      0,                      0,                      0,                      0,                    nan,                    nan,                    nan,              0.0018812,              0.0018812,              0.0018812
                      8,                 3.3618,                 2.5253,                0.96203,                      1,                0.02598,                0.03622,                0.00425,                 1.9608,                 1.5822,                0.53111,              0.0018614,              0.0018614,              0.0018614
                      9,                 3.2705,                 2.2516,                0.93279,                0.65439,                0.16873,                0.20711,                0.04313,                 2.4321,                 1.5569,                 0.6507,              0.0018416,              0.0018416,              0.0018416
                     10,                 3.2005,                 2.1493,                0.92573,                0.68003,                0.38614,                 0.3664,                0.10054,                 2.6215,                 2.1181,                0.76844,              0.0018218,              0.0018218,              0.0018218
                     11,                 3.0401,                 2.0962,                0.91175,                0.66572,                0.23664,                0.28891,                0.07387,                 2.7559,                 2.3604,                0.83346,               0.001802,               0.001802,               0.001802
                     12,                 3.2367,                 1.9723,                0.93916,                0.11688,                0.17822,                0.10592,                0.02026,                 3.2464,                 2.3965,                0.78351,              0.0017822,              0.0017822,              0.0017822
                     13,                 3.2549,                 2.1621,                0.91859,                 0.6318,                0.23762,                0.31385,                0.09009,                 2.7673,                 2.2698,                0.79522,              0.0017624,              0.0017624,              0.0017624
                     14,                 3.0894,                 1.9764,                0.90059,                0.44672,                0.26733,                0.28116,                0.06781,                 3.0081,                 2.5934,                0.84652,              0.0017426,              0.0017426,              0.0017426
                     15,                  2.919,                 2.0067,                0.88904,                0.71761,                0.22772,                0.27699,                0.08735,                 2.6978,                 2.1885,                0.81882,              0.0017228,              0.0017228,              0.0017228
                     16,                 2.8953,                  1.863,                0.88825,                0.11382,                0.13861,                0.08129,                0.02413,                 3.1015,                 3.1978,                0.85229,               0.001703,               0.001703,               0.001703
                     17,                 3.2031,                  2.034,                0.90476,                0.47695,                0.22574,                0.19257,                0.04793,                 2.8521,                 1.7408,                0.81217,              0.0016832,              0.0016832,              0.0016832
                     18,                 2.8845,                 1.8367,                0.90941,                0.56877,                0.33663,                 0.3045,                0.07614,                 2.8945,                 1.8236,                0.84871,              0.0016634,              0.0016634,              0.0016634
                     19,                 3.0707,                 2.0657,                0.90458,                0.48428,                0.32673,                0.30618,                0.10411,                 2.6646,                  1.696,                0.83899,              0.0016436,              0.0016436,              0.0016436
                     20,                 3.2084,                 1.9024,                0.92373,                0.44072,                0.23762,                0.22272,                0.06388,                 2.6595,                 1.6176,                0.74655,              0.0016238,              0.0016238,              0.0016238
                     21,                 3.0838,                 1.9059,                0.91326,                0.62684,                 0.3493,                0.38073,                0.10882,                 2.7841,                 1.7818,                0.85789,               0.001604,               0.001604,               0.001604
                     22,                 2.9575,                 1.8177,                0.91357,                0.61901,                0.35644,                0.37664,                0.10035,                 2.6923,                 1.8021,                 0.8196,              0.0015842,              0.0015842,              0.0015842
                     23,                 3.2393,                 2.0578,                0.92137,                0.50665,                0.33663,                0.29525,                0.07573,                 2.5269,                 2.0253,                0.80717,              0.0015644,              0.0015644,              0.0015644
                     24,                  3.033,                 2.0507,                0.90302,                0.20443,                0.15842,                 0.0825,                0.02046,                  3.126,                  2.488,                0.85012,              0.0015446,              0.0015446,              0.0015446
                     25,                 2.9083,                 1.8508,                0.87555,                0.61597,                0.28587,                0.29633,                0.10314,                 2.2981,                 1.9179,                0.79597,              0.0015248,              0.0015248,              0.0015248
                     26,                 2.9715,                   1.83,                0.89399,                0.51942,                0.32673,                0.31823,                0.08476,                 2.4914,                 1.5366,                 0.8148,               0.001505,               0.001505,               0.001505
                     27,                  2.936,                 1.7935,                0.89752,                0.55098,                0.40594,                0.36441,                0.11825,                 2.4181,                 1.4728,                0.81349,              0.0014852,              0.0014852,              0.0014852
                     28,                 2.8542,                 1.7026,                0.88138,                0.49648,                0.26733,                0.25732,                0.07914,                 2.7187,                 1.5345,                 0.8414,              0.0014654,              0.0014654,              0.0014654
                     29,                 2.7882,                 1.7168,                 0.8805,                0.65262,                0.33663,                0.36422,                0.11302,                 2.5083,                 1.6738,                0.82173,              0.0014456,              0.0014456,              0.0014456
                     30,                 2.7535,                 1.7952,                0.88249,                0.69714,                0.36467,                  0.382,                0.14355,                 2.4445,                 1.4171,                0.79138,              0.0014258,              0.0014258,              0.0014258
                     31,                 2.7466,                 1.8407,                0.87572,                0.69933,                0.32673,                0.36396,                 0.1264,                 2.3416,                 1.4895,                0.78727,               0.001406,               0.001406,               0.001406
                     32,                 2.6557,                 1.6889,                0.86434,                0.68603,                0.32454,                0.33626,                0.14167,                  2.333,                 2.4158,                0.79901,              0.0013862,              0.0013862,              0.0013862
                     33,                 2.7027,                 1.6843,                0.85885,                0.56821,                0.23762,                0.20873,                0.06288,                 2.7897,                  1.681,                0.81777,              0.0013664,              0.0013664,              0.0013664
                     34,                 2.7918,                 1.7823,                0.86495,                 0.5745,                0.35644,                0.36288,                0.11723,                 2.3526,                 1.5367,                0.81177,              0.0013466,              0.0013466,              0.0013466
                     35,                 2.7968,                 1.6255,                0.87076,                 0.7435,                0.40184,                0.45549,                0.17121,                 2.3512,                 1.5635,                0.81215,              0.0013268,              0.0013268,              0.0013268
                     36,                 2.7723,                 1.5839,                 0.8836,                0.49443,                0.27723,                0.27296,                0.06752,                 2.5548,                 1.6632,                0.82267,               0.001307,               0.001307,               0.001307
